,sfrcells[i],rlen[i],rwid,rgrd,rbtp[i],rbth,rbhk,man,ncon,ustrf,ndv,sfrcells0,sfrcells1,sfrcells2
0,"(0, 0, 3)",24.637711,5,0.001444831,48.622822,1.5,0.1,0.04,1,1.0,0,0,0,3
1,"(0, 1, 3)",31.966246,5,0.001444831,48.581932,1.5,0.1,0.04,2,1.0,0,0,1,3
2,"(0, 1, 2)",26.376442,5,0.001444831,48.539783,1.5,0.1,0.04,2,1.0,0,0,1,2
3,"(0, 2, 2)",11.773884,5,0.001444831,48.512222,1.5,0.1,0.04,2,1.0,0,0,2,2
4,"(0, 2, 1)",22.921772,5,0.001444831,48.48716,1.5,0.1,0.04,2,1.0,0,0,2,1
5,"(0, 3, 1)",24.94973,5,0.001444831,48.452576,1.5,0.1,0.04,2,1.0,0,0,3,1
6,"(0, 4, 1)",23.87805,5,0.001444831,48.417301,1.5,0.1,0.04,2,1.0,0,0,4,1
7,"(0, 5, 1)",23.190311,5,0.001444831,48.383297,1.5,0.1,0.04,2,1.0,0,0,5,1
8,"(0, 6, 1)",24.762365,5,0.001444831,48.348656,1.5,0.1,0.04,2,1.0,0,0,6,1
9,"(0, 7, 1)",24.908625,5,0.001444831,48.312775,1.5,0.1,0.04,2,1.0,0,0,7,1
10,"(0, 7, 2)",34.366299,5,0.001444831,48.269951,1.5,0.1,0.04,2,1.0,0,0,7,2
11,"(0, 7, 3)",37.834534,5,0.001444831,48.217793,1.5,0.1,0.04,2,1.0,0,0,7,3
12,"(0, 7, 4)",6.7398176,5,0.001444831,48.185593,1.5,0.1,0.04,2,1.0,0,0,7,4
13,"(0, 6, 4)",25.15085,5,0.001444831,48.162552,1.5,0.1,0.04,2,1.0,0,0,6,4
14,"(0, 5, 4)",22.888292,5,0.001444831,48.12785,1.5,0.1,0.04,2,1.0,0,0,5,4
15,"(0, 4, 4)",24.630053,5,0.001444831,48.093521,1.5,0.1,0.04,2,1.0,0,0,4,4
16,"(0, 3, 4)",24.104542,5,0.001444831,48.058315,1.5,0.1,0.04,2,1.0,0,0,3,4
17,"(0, 3, 5)",35.873375,5,0.001444831,48.014984,1.5,0.1,0.04,2,1.0,0,0,3,5
18,"(0, 3, 6)",20.101446,5,0.001444831,47.974548,1.5,0.1,0.04,2,1.0,0,0,3,6
19,"(0, 4, 6)",35.636936,5,0.001444831,47.934284,1.5,0.1,0.04,2,1.0,0,0,4,6
20,"(0, 4, 7)",39.273537,5,0.001444831,47.880165,1.5,0.1,0.04,2,1.0,0,0,4,7
21,"(0, 5, 7)",7.8477302,5,0.001444831,47.846127,1.5,0.1,0.04,2,1.0,0,0,5,7
22,"(0, 5, 8)",15.480835,5,0.001444831,47.829273,1.5,0.1,0.04,2,1.0,0,0,5,8
23,"(0, 6, 8)",22.883194,5,0.001444831,47.801556,1.5,0.1,0.04,2,1.0,0,0,6,8
24,"(0, 7, 8)",6.6126003,5,0.001444831,47.780251,1.5,0.1,0.04,2,1.0,0,0,7,8
25,"(0, 7, 7)",31.995899,5,0.001444831,47.752357,1.5,0.1,0.04,2,1.0,0,0,7,7
26,"(0, 8, 7)",9.4387379,5,0.001444831,47.722424,1.5,0.1,0.04,2,1.0,0,0,8,7
27,"(0, 8, 6)",35.385513,5,0.001444831,47.690044,1.5,0.1,0.04,2,1.0,0,0,8,6
28,"(0, 8, 5)",35.470993,5,0.001444831,47.638855,1.5,0.1,0.04,2,1.0,0,0,8,5
29,"(0, 8, 4)",23.500074,5,0.001444831,47.596252,1.5,0.1,0.04,2,1.0,0,0,8,4
30,"(0, 9, 4)",18.414469,5,0.001444831,47.565975,1.5,0.1,0.04,2,1.0,0,0,9,4
31,"(0, 9, 3)",12.016913,5,0.001444831,47.543991,1.5,0.1,0.04,2,1.0,0,0,9,3
32,"(0, 10, 3)",24.691732,5,0.001444831,47.517471,1.5,0.1,0.04,2,1.0,0,0,10,3
33,"(0, 11, 3)",23.105467,5,0.001444831,47.482941,1.5,0.1,0.04,2,1.0,0,0,11,3
34,"(0, 12, 3)",23.700483,5,0.001444831,47.449127,1.5,0.1,0.04,2,1.0,0,0,12,3
35,"(0, 13, 3)",19.596104,5,0.001444831,47.41785,1.5,0.1,0.04,2,1.0,0,0,13,3
36,"(0, 13, 4)",5.755568,5,0.001444831,47.399536,1.5,0.1,0.04,2,1.0,0,0,13,4
37,"(0, 14, 4)",34.423119,5,0.001444831,47.37051,1.5,0.1,0.04,2,1.0,0,0,14,4
38,"(0, 14, 5)",36.131992,5,0.001444831,47.319538,1.5,0.1,0.04,2,1.0,0,0,14,5
39,"(0, 14, 6)",7.4424477,5,0.001444831,47.288059,1.5,0.1,0.04,2,1.0,0,0,14,6
40,"(0, 13, 6)",35.565659,5,0.001444831,47.256992,1.5,0.1,0.04,2,1.0,0,0,13,6
41,"(0, 13, 7)",1.6159637,5,0.001444831,47.230129,1.5,0.1,0.04,2,1.0,0,0,13,7
42,"(0, 12, 7)",32.316132,5,0.001444831,47.205616,1.5,0.1,0.04,2,1.0,0,0,12,7
43,"(0, 11, 7)",20.131876,5,0.001444831,47.167728,1.5,0.1,0.04,2,1.0,0,0,11,7
44,"(0, 11, 8)",6.5242062,5,0.001444831,47.148472,1.5,0.1,0.04,2,1.0,0,0,11,8
45,"(0, 10, 8)",25.57563,5,0.001444831,47.125282,1.5,0.1,0.04,2,1.0,0,0,10,8
46,"(0, 9, 8)",25.57563,5,0.001444831,47.088329,1.5,0.1,0.04,2,1.0,0,0,9,8
47,"(0, 8, 8)",24.303566,5,0.001444831,47.052296,1.5,0.1,0.04,2,1.0,0,0,8,8
48,"(0, 7, 8)",1.9158504,5,0.001444831,47.033356,1.5,0.1,0.04,2,1.0,0,0,7,8
49,"(0, 7, 9)",21.931326,5,0.001444831,47.016129,1.5,0.1,0.04,2,1.0,0,0,7,9
50,"(0, 6, 9)",23.847176,5,0.001444831,46.983055,1.5,0.1,0.04,2,1.0,0,0,6,9
51,"(0, 5, 9)",23.432203,5,0.001444831,46.948902,1.5,0.1,0.04,2,1.0,0,0,5,9
52,"(0, 4, 9)",23.248718,5,0.001444831,46.915176,1.5,0.1,0.04,2,1.0,0,0,4,9
53,"(0, 3, 9)",23.455051,5,0.001444831,46.881439,1.5,0.1,0.04,2,1.0,0,0,3,9
54,"(0, 2, 9)",15.171843,5,0.001444831,46.853535,1.5,0.1,0.04,2,1.0,0,0,2,9
55,"(0, 2, 10)",11.196334,5,0.001444831,46.834484,1.5,0.1,0.04,2,1.0,0,0,2,10
56,"(0, 1, 10)",34.931976,5,0.001444831,46.801159,1.5,0.1,0.04,2,1.0,0,0,1,10
57,"(0, 0, 10)",4.4492774,5,0.001444831,46.772713,1.5,0.1,0.04,2,1.0,0,0,0,10
58,"(0, 0, 11)",36.034172,5,0.001444831,46.743465,1.5,0.1,0.04,2,1.0,0,0,0,11
59,"(0, 0, 12)",38.365566,5,0.001444831,46.689716,1.5,0.1,0.04,2,1.0,0,0,0,12
60,"(0, 0, 13)",0.8766859,5,0.001444831,46.661369,1.5,0.1,0.04,2,1.0,0,0,0,13
61,"(0, 1, 13)",30.059759,5,0.001444831,46.639019,1.5,0.1,0.04,2,1.0,0,0,1,13
62,"(0, 2, 13)",25.351671,5,0.001444831,46.598988,1.5,0.1,0.04,2,1.0,0,0,2,13
63,"(0, 3, 13)",23.554117,5,0.001444831,46.56366,1.5,0.1,0.04,2,1.0,0,0,3,13
64,"(0, 4, 13)",24.691738,5,0.001444831,46.528805,1.5,0.1,0.04,2,1.0,0,0,4,13
65,"(0, 5, 13)",26.074226,5,0.001444831,46.49213,1.5,0.1,0.04,2,1.0,0,0,5,13
66,"(0, 6, 13)",13.542957,5,0.001444831,46.463512,1.5,0.1,0.04,2,1.0,0,0,6,13
67,"(0, 6, 12)",13.303432,5,0.001444831,46.444118,1.5,0.1,0.04,2,1.0,0,0,6,12
68,"(0, 7, 12)",28.145079,5,0.001444831,46.414173,1.5,0.1,0.04,2,1.0,0,0,7,12
69,"(0, 8, 12)",24.373089,5,0.001444831,46.376232,1.5,0.1,0.04,2,1.0,0,0,8,12
70,"(0, 9, 12)",23.213642,5,0.001444831,46.341858,1.5,0.1,0.04,2,1.0,0,0,9,12
71,"(0, 10, 12)",23.298107,5,0.001444831,46.308254,1.5,0.1,0.04,2,1.0,0,0,10,12
72,"(0, 11, 12)",24.627758,5,0.001444831,46.273632,1.5,0.1,0.04,2,1.0,0,0,11,12
73,"(0, 12, 12)",27.715137,5,0.001444831,46.235821,1.5,0.1,0.04,2,1.0,0,0,12,12
74,"(0, 12, 13)",1.7645065,5,0.001444831,46.214523,1.5,0.1,0.04,2,1.0,0,0,12,13
75,"(0, 13, 13)",39.549232,5,0.001444831,46.184677,1.5,0.1,0.04,2,1.0,0,0,13,13
76,"(0, 13, 14)",37.144009,5,0.001444831,46.129272,1.5,0.1,0.04,2,1.0,0,0,13,14
77,"(0, 13, 15)",14.94329,5,0.001444831,46.091644,1.5,0.1,0.04,2,1.0,0,0,13,15
78,"(0, 12, 15)",24.851254,5,0.001444831,46.062897,1.5,0.1,0.04,2,1.0,0,0,12,15
79,"(0, 11, 15)",23.737432,5,0.001444831,46.027794,1.5,0.1,0.04,2,1.0,0,0,11,15
80,"(0, 10, 15)",15.967736,5,0.001444831,45.999111,1.5,0.1,0.04,2,1.0,0,0,10,15
81,"(0, 10, 16)",10.632832,5,0.001444831,45.979897,1.5,0.1,0.04,2,1.0,0,0,10,16
82,"(0, 9, 16)",11.425938,5,0.001444831,45.963959,1.5,0.1,0.04,2,1.0,0,0,9,16
83,"(0, 9, 15)",20.009295,5,0.001444831,45.94125,1.5,0.1,0.04,2,1.0,0,0,9,15
84,"(0, 8, 15)",24.641207,5,0.001444831,45.908993,1.5,0.1,0.04,2,1.0,0,0,8,15
85,"(0, 7, 15)",27.960585,5,0.001444831,45.870995,1.5,0.1,0.04,2,1.0,0,0,7,15
86,"(0, 6, 15)",4.6452723,5,0.001444831,45.847439,1.5,0.1,0.04,2,1.0,0,0,6,15
87,"(0, 6, 16)",36.717735,5,0.001444831,45.817558,1.5,0.1,0.04,2,1.0,0,0,6,16
88,"(0, 6, 17)",34.469074,5,0.001444831,45.766132,1.5,0.1,0.04,1,1.0,0,0,6,17
