total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1,1.000000000000000,1,1,1,1,6.525261023625889,1,13797,-34.65541617789501,1,10802,1.000004,1.114711
2,1.000000000000000,1,1,1,2,.6407500943807838,1,1822,-2.428565543982335,1,10772,1.595367,0.8948335
3,1.000000000000000,1,1,1,3,.3732992063025516E-01,1,1793,-.6975743578442489,1,10699,0.4460813,1.205784
4,1.000000000000000,1,1,1,4,.1528618950921524E-01,1,1720,-.8036988850552940E-01,1,10772,3.242440,0.7728592
5,1.000000000000000,1,1,1,5,.1806455152928953E-02,1,1793,-.5276324857914093E-02,1,10772,0.8284902,1.935680
6,1.000000000000000,1,1,1,6,.7057393790012232E-04,1,1793,-.5768265768798200E-04,1,13646,1.551691,0.9243805
7,1.000000000000000,1,1,1,7,.7515996761006523E-06,1,1748,-.1193375896527887E-04,1,10772,0.8035864,1.341753
8,1.000000000000000,1,1,2,1,-6.744692960714428,1,1825,10.05674126573851,1,13643,1.000019,1.015775
9,1.000000000000000,1,1,2,2,-.4042121205398055E-02,1,13643,.5034257835788702E-02,1,13643,1.015326,0.9663230
10,1.000000000000000,1,1,2,3,-.8113066463245491E-05,1,13644,.8062874149370434E-06,1,13643,0.9929273,1.029593
11,1.000000000000000,1,1,3,1,-.7036637949955422E-01,1,2615,.7727515367131905,1,10685,1.000031,1.002237
12,1.000000000000000,1,1,3,2,-.9457327275911433E-03,1,1633,.5509343318718037E-02,1,10685,1.014720,1.079068
13,1.000000000000000,1,1,3,3,.1173463665968289E-04,1,4626,.2702794747699145E-05,1,13605,1.016664,0.9150416
14,1.000000000000000,1,1,3,4,-.3010022550360141E-07,1,4626,.1003903622745466E-07,1,13262,0.9947263,0.9823882
15,1.000000000000000,1,1,4,1,-.4630324472197691E-01,1,2615,.4990401778908098,1,10685,1.000075,1.002594
16,1.000000000000000,1,1,4,2,-.5125098027848963E-03,1,13678,.3768841541265918E-02,1,10685,1.011625,1.050204
17,1.000000000000000,1,1,4,3,.4104615158817595E-05,1,4626,.5794073776742669E-05,1,13605,1.018403,0.8900192
18,1.000000000000000,1,1,5,1,-.3249375546418981E-01,1,2615,.3683602816247888,1,13681,1.000175,1.003828
19,1.000000000000000,1,1,5,2,-.3329064727254419E-03,1,13678,.2485260513096181E-02,1,10685,1.010475,1.040346
20,1.000000000000000,1,1,5,3,-.2178078835542300E-05,1,13678,.4923777723241019E-05,1,13605,1.016760,0.8794324
21,1.000000000000000,1,1,6,1,-.2761265901102905E-01,1,2615,.2387897367516290,1,13681,1.000403,1.005800
22,1.000000000000000,1,1,6,2,-.2150960960528152E-03,1,13678,.1647055179211026E-02,1,10685,1.009091,1.037082
23,1.000000000000000,1,1,6,3,-.1454541422334497E-05,1,13678,.3493924580737338E-05,1,13605,1.020397,0.8794680
24,1.000000000000000,1,1,7,1,-.5276967573857519E-01,1,2615,.1481224992484189,1,13681,1.000931,1.010535
25,1.000000000000000,1,1,7,2,-.1341098548161276E-03,1,13678,.1088148649630395E-02,1,10685,1.011672,0.9590374
26,1.000000000000000,1,1,7,3,-.2260037761318320E-05,1,1633,-.3171864461644633E-05,1,13605,1.019668,1.178629
27,1.000000000000000,1,1,8,1,-1.932614128849974,1,2615,.8607465936235101,1,11594,1.002786,1.007204
28,1.000000000000000,1,1,8,2,-.1299644390169632E-01,1,5608,.3859268328835239E-02,1,13614,1.059215,0.9492251
29,1.000000000000000,1,1,8,3,-.5259299047010181E-04,1,5608,.2661307489168796E-03,1,11521,0.6908426,1.230272
30,1.000000000000000,1,1,8,4,.3085775455892078E-05,1,5608,-.6579102695506442E-06,1,11594,1.503883,1.198724
31,1.000000000000000,1,1,9,1,-1.371583529662046,1,2117,13.87298778763678,1,14514,1.010025,1.042587
32,1.000000000000000,1,1,9,2,-.2061161948747278,1,5535,1.746085206897429,1,11521,1.231191,0.8075344
33,1.000000000000000,1,1,9,3,-.3288572753895520E-01,1,5535,.1282752543460708,1,11521,1.012072,1.491321
34,1.000000000000000,1,1,9,4,-.1775672477423774E-02,1,5535,.4040272921729222E-02,1,11521,1.136381,0.9450938
35,1.000000000000000,1,1,9,5,-.7179267048887072E-04,1,5535,.2684266603481220E-03,1,11521,1.192692,1.063882
36,1.000000000000000,1,1,9,6,-.4714380649314651E-05,1,5535,.4433144541966032E-05,1,14514,1.048973,1.315318
37,1.000000000000000,1,1,10,1,-1.055365520109968,1,1971,26.89952599019477,1,11520,1.067566,1.527191
38,1.000000000000000,1,1,10,2,-1.509631667314346,1,1971,13.08125534461254,1,11374,5.004698,0.6664467
39,1.000000000000000,1,1,10,3,-.8262424019215253,1,5243,12.28827971067433,1,11374,1.399240,2.002094
40,1.000000000000000,1,1,10,4,-1.045371800110180,1,5170,7.904260032342288,1,11228,2.857838,0.8223932
41,1.000000000000000,1,1,10,5,-.6347689465584458,1,5169,6.703277257789933,1,11156,1.683792,1.465364
42,1.000000000000000,1,1,10,6,-.6304597922289512,1,5170,3.762535185021515,1,11156,2.129724,0.9549267
43,1.000000000000000,1,1,10,7,-.3327377763204965,1,5096,2.431911844032623,1,11082,2.024415,0.8440849
44,1.000000000000000,1,1,10,8,-.2648067625626529,1,8089,1.822404221275030,1,11082,1.565325,2.318003
45,1.000000000000000,1,1,10,9,-.1352404680106455,1,5096,.8764707892766959,1,11082,1.884825,0.7100965
46,1.000000000000000,1,1,10,10,-.1118270209682123,1,5095,.7028967150991368,1,11082,1.683532,3.554870
47,1.000000000000000,1,1,10,11,-.5396539864466707E-01,1,2103,.3181784685728292,1,11154,2.034686,0.6417852
48,1.000000000000000,1,1,10,12,-.6455708800798968E-01,1,5169,.2444555196926110,1,11084,1.328736,11.20354
49,1.000000000000000,1,1,10,13,-.1525576311648325E-01,1,2177,.8045802416998775E-01,1,11083,2.192347,1.182401
50,1.000000000000000,1,1,10,14,-.3187899050703171E-01,1,8162,-.2969257487391646E-01,1,10281,12.08174,0.6140198
51,1.000000000000000,1,1,10,15,.8834510961736271E-02,1,5168,-.2038735720825817E-01,1,10065,0.1667655,21.78115
52,1.000000000000000,1,1,10,16,-.9055065641586616E-03,1,2249,.8509116064831516E-02,1,11152,2.661016,0.6917098
53,1.000000000000000,1,1,10,17,-.6656706534399429E-03,1,2174,.6968165069770694E-02,1,11090,1.697314,2.021444
54,1.000000000000000,1,1,10,18,-.4920535237121559E-03,1,5166,.3863330261615098E-02,1,11079,1.667444,1.243282
55,1.000000000000000,1,1,10,19,-.4712897617933402E-03,1,5166,.2627039882144721E-02,1,11007,2.500028,1.657588
56,1.000000000000000,1,1,10,20,-.3028785537352617E-03,1,5093,.1781380143169875E-02,1,10939,2.695593,0.6458154
57,1.000000000000000,1,1,10,21,.3200384007286849E-04,1,2112,.2049331698696436E-02,1,10938,-0.7815892,1.987604
58,1.000000000000000,1,1,10,22,-.2667348803407163E-03,1,5096,.7759382847436092E-03,1,11009,-2.794849,5.675713
59,1.000000000000000,1,1,10,23,-.1767927855025895E-03,1,5097,.4542979819383420E-03,1,10065,8.577378,0.6102984
60,1.000000000000000,1,1,10,24,.8879175287235556E-04,1,5096,.1691605025356561E-03,1,11156,0.2141236,4.258891
61,1.000000000000000,1,1,10,25,-.2047224041714023E-04,1,5170,.8476658603554039E-04,1,11084,2.720683,0.8996964
62,1.000000000000000,1,1,10,26,-.9231223406801210E-05,1,5097,.6097812774256787E-04,1,11084,1.423092,2.383040
63,1.000000000000000,1,1,11,1,-1.993234847481095,1,2544,30.57105915333928,1,11379,1.034386,0.9994429
64,1.000000000000000,1,1,11,2,-1.628630914235559,1,8459,15.13628452198629,1,11305,4.012018,0.6565078
65,1.000000000000000,1,1,11,3,-1.996472284810839,1,2331,14.46069113427908,1,11089,2.070232,2.326992
66,1.000000000000000,1,1,11,4,-2.013605402182047,1,8388,11.49407113412398,1,11087,3.106077,0.8348425
67,1.000000000000000,1,1,11,5,-1.282291505476192,1,5250,10.65433445973105,1,11087,1.720917,1.937904
68,1.000000000000000,1,1,11,6,-1.164912775885269,1,2184,6.191087977363186,1,11013,2.468604,0.7469486
69,1.000000000000000,1,1,11,7,-.7139003889134032,1,5102,5.333379897507513,1,11013,1.789898,2.299026
70,1.000000000000000,1,1,11,8,-.5599030153728296,1,5101,3.551969616629986,1,11009,2.058318,0.8333756
71,1.000000000000000,1,1,11,9,-.4126681263165534,1,8162,3.008202435082135,1,11009,2.126332,1.275904
72,1.000000000000000,1,1,11,10,-.3741645878077117,1,5096,2.396925707857196,1,11007,1.846473,1.295570
73,1.000000000000000,1,1,11,11,-.3190335644930199,1,5095,1.784994339552212,1,11007,2.092631,1.165450
74,1.000000000000000,1,1,11,12,-.2711769412522417,1,5095,1.242083544981950,1,11005,2.295017,0.8853669
75,1.000000000000000,1,1,11,13,-.1761218092181799,1,8086,.9304271277183689,1,11077,1.828386,1.358375
76,1.000000000000000,1,1,11,14,-.1672409891947866,1,5091,-.8069363298865934,1,11022,1.558734,4.703644
77,1.000000000000000,1,1,11,15,-.1233418814642362,1,5163,.5495687290914241,1,11295,3.221875,0.6388752
78,1.000000000000000,1,1,11,16,-.5245759618655016E-01,1,5309,.5783259785846335,1,11148,-0.1212739,6.629074
79,1.000000000000000,1,1,11,17,-.1080421537865939,1,5234,.3871559182219825,1,11367,-19.49787,0.8594111
80,1.000000000000000,1,1,11,18,-.6016342117607170E-01,1,5235,.3162575884358738,1,11367,2.501450,0.6989410
81,1.000000000000000,1,1,11,19,-.5785633519543507E-01,1,11294,.2526821750176049,1,11367,2.775666,0.9801255
82,1.000000000000000,1,1,11,20,-.6771350081949547E-02,1,5381,.2529652057971945,1,11294,0.7200428E-01,1.824911
83,1.000000000000000,1,1,11,21,-.7043112065747427E-01,1,11294,.1679349240561606,1,11294,28.14525,7.056831
84,1.000000000000000,1,1,11,22,-.4523358194976478E-01,1,8301,-.8891174264232608E-01,1,9911,4.421847,0.6276240
85,1.000000000000000,1,1,11,23,.4338119767393975E-01,1,3852,.8509271383049505E-01,1,11234,0.3584917,33.17843
86,1.000000000000000,1,1,11,24,-.1180534634297814E-01,1,5232,.2782878269065647E-01,1,11291,9.694397,0.6108589
87,1.000000000000000,1,1,11,25,.9626541959280790E-03,1,8225,.2896664343642045E-01,1,11290,-0.9100885,0.8428639
88,1.000000000000000,1,1,11,26,-.1359599690567235E-01,1,11291,.2939826265821448E-01,1,11094,-2.119337,15.43002
89,1.000000000000000,1,1,11,27,-.2841160158018048E-02,1,5234,.1089182420899811E-01,1,11293,1.478001,0.6314836
90,1.000000000000000,1,1,11,28,-.2352726538390022E-02,1,11292,.1016041797063711E-01,1,11165,1.827040,2.844519
91,1.000000000000000,1,1,11,29,-.2193657517212393E-02,1,11292,.8913465398498585E-02,1,11095,1.390519,5.520297
92,1.000000000000000,1,1,11,30,-.3270652722819061E-02,1,11293,-.3743089514558663E-02,1,10059,8.302742,0.6094646
93,1.000000000000000,1,1,11,31,.3040404270730965E-02,1,4073,.3413809992811537E-02,1,11085,0.3977253,55.88480
94,1.000000000000000,1,1,11,32,-.3054430206915071E-03,1,5231,.2112507496054474E-02,1,11227,6.488480,0.6100150
95,1.000000000000000,1,1,11,33,.2426642174710232E-04,1,5168,.9303564169896843E-03,1,11078,-0.6987433,0.6851732
96,1.000000000000000,1,1,11,34,-.2541139398796265E-03,1,11217,.6476323694256869E-03,1,11150,-3.362971,2.169450
97,1.000000000000000,1,1,11,35,-.1064219137362992E-03,1,8225,.3945277732352907E-03,1,11150,2.203957,0.9514544
98,1.000000000000000,1,1,11,36,-.9381582980283434E-04,1,5162,.2807883445796634E-03,1,11224,3.306744,0.9275552
99,1.000000000000000,1,1,11,37,-.5300216076148537E-04,1,5238,.3012433657845527E-03,1,11151,0.6824220,3.331825
100,1.000000000000000,1,1,11,38,.7415395824165706E-05,1,2177,.2368917220933935E-03,1,11224,0.5104059,1.846834
101,1.000000000000000,1,1,12,1,-4.228512694047071,1,864,29.18456426976537,1,9915,1.007938,0.9071446
102,1.000000000000000,1,1,12,2,-1.237770105306227,1,6850,19.34448089742460,1,11807,1.744388,0.7309055
103,1.000000000000000,1,1,12,3,-1.579055817654959,1,2901,14.83209213012419,1,11807,2.129574,1.983474
104,1.000000000000000,1,1,12,4,-1.452358249929467,1,11879,10.61083165860358,1,11659,2.897783,0.6851873
105,1.000000000000000,1,1,12,5,-1.780163966019267,1,14873,10.56748581649036,1,11587,2.047829,3.566796
106,1.000000000000000,1,1,12,6,-1.731877499633271,1,2828,7.521283364650186,1,11513,2.797464,0.7053701
107,1.000000000000000,1,1,12,7,-1.564232228907214,1,5748,7.831846687928991,1,11441,2.120076,2.644323
108,1.000000000000000,1,1,12,8,-1.965197648261933,1,5821,6.354752995071005,1,11367,2.949933,0.7393721
109,1.000000000000000,1,1,12,9,-1.445426216592044,1,8739,5.919771636365051,1,11221,2.542000,1.297496
110,1.000000000000000,1,1,12,10,-1.078773040856410,1,8592,5.359068839358112,1,11221,1.998734,0.9988198
111,1.000000000000000,1,1,12,11,-1.701385594583920,1,8300,4.718363025935305,1,11298,1.544450,14.75651
112,1.000000000000000,1,1,12,12,-10.84557521980569,1,8665,23.29575072582598,1,11308,46.61823,0.6200910
113,1.000000000000000,1,1,12,13,9.771601173741322,1,8665,2.915925103567158,1,11235,0.4779230E-01,6.914570
114,1.000000000000000,1,1,12,14,-.6338054523396194,1,8517,1.700829028393200,1,11217,4.143277,0.6889336
115,1.000000000000000,1,1,12,15,-17.82447886999446,1,8371,-16.29483587892094,1,11217,166.0302,0.6701021
116,1.000000000000000,1,1,12,16,16.91057243757078,1,8371,1.926615319248504,1,14221,0.1875379E-01,19.47229
117,1.000000000000000,1,1,12,17,-.7516042361424630,1,14503,2.168374940640628,1,14225,11.65100,0.8153478
118,1.000000000000000,1,1,12,18,.3375081799043067,1,14503,.4682503173582544,1,11652,0.2853177,1.414309
119,1.000000000000000,1,1,12,19,-.2137241879261868,1,11582,-.4364389490248380,1,9536,4.389144,0.8230228
120,1.000000000000000,1,1,12,20,-.8275022051639787E-01,1,11655,-.4125410087451324,1,9537,1.114689,3.300614
121,1.000000000000000,1,1,12,21,-.1419468554940069,1,11656,-.3888513278353901,1,9537,3.837656,0.7108106
122,1.000000000000000,1,1,12,22,.3150503443845570,1,6545,.5607220561084529,1,14221,0.5169920,54.75703
123,1.000000000000000,1,1,12,23,-.4657035917067071E-01,1,5818,.1859446065105055,1,11661,6.247274,0.6065791
124,1.000000000000000,1,1,12,24,-.2995219365804272E-01,1,2752,-.1545346734289787,1,9837,1.001919,1.666738
125,1.000000000000000,1,1,12,25,-.1027043942480558,1,2680,-.1293404588091571,1,9839,9.924131,0.6607218
126,1.000000000000000,1,1,12,26,.3386998382407114E-01,1,5819,.1620237221791710,1,14218,0.2504991,12.14579
127,1.000000000000000,1,1,12,27,-.2590985121512192E-01,1,8664,-.1085271981389551,1,9763,3.191769,1.163498
128,1.000000000000000,1,1,12,28,-.2767537520311901E-01,1,11658,.1204543259495074,1,14219,2.413610,3.897139
129,1.000000000000000,1,1,12,29,-.3681579318464759E-01,1,11658,-.7659827724974058E-01,1,9841,5.335551,0.6254488
130,1.000000000000000,1,1,12,30,.2688469543238465E-02,1,12832,.8363959091089433E-01,1,14219,0.2916043,3.134671
131,1.000000000000000,1,1,12,31,-.2882191271589745E-01,1,11658,-.5919560057012267E-01,1,9839,10.13700,1.135177
132,1.000000000000000,1,1,12,32,-.1653998559955591E-01,1,11658,.5141987386964732E-01,1,11803,2.400630,1.865476
133,1.000000000000000,1,1,12,33,-.2225952197565240E-01,1,8665,.4233888123328414E-01,1,11731,3.043946,0.7236421
134,1.000000000000000,1,1,12,34,-.7104658843914447E-02,1,2752,.6064025017076240E-01,1,11305,0.2836880,12.20608
135,1.000000000000000,1,1,12,35,-.2918901310338680E-01,1,2752,.3666683480959072E-01,1,14218,19.58239,0.6381930
136,1.000000000000000,1,1,12,36,.4496443189112115E-02,1,8665,.3722364980247705E-01,1,14220,0.4788397,3.906428
137,1.000000000000000,1,1,12,37,.6964428327586646E-01,1,2752,.9608359127215382E-01,1,14220,-40.18123,0.7414718
138,1.000000000000000,1,1,12,38,-.8601879856769711E-01,1,2752,.2101348430332991E-01,1,11732,-0.1071573,5.651045
139,1.000000000000000,1,1,12,39,-.6062651981635360E-02,1,2752,.1771886501780327E-01,1,11731,2.888601,0.6436389
140,1.000000000000000,1,1,12,40,-.9683041261023302E-02,1,2752,.1778304268987332E-01,1,14217,1.815492,6.829136
141,1.000000000000000,1,1,12,41,.1511852773685720E-01,1,2752,.2058204898208789E-01,1,11806,-12.03489,0.9346733
142,1.000000000000000,1,1,12,42,-.2389824740479753E-01,1,2752,.9444191963134379E-02,1,14218,-0.3096256,5.468380
143,1.000000000000000,1,1,12,43,-.2078095180413748E-02,1,2752,.8325805395832222E-02,1,11731,2.561394,0.6522348
144,1.000000000000000,1,1,12,44,-.2322387746955494E-02,1,2752,.7338721436711432E-02,1,11730,1.875536,3.026091
145,1.000000000000000,1,1,12,45,-.1146626357898339E-02,1,2752,.6779225272559784E-02,1,11730,1.827810,0.9053901
146,1.000000000000000,1,1,12,46,-.2359267145975439E-02,1,2752,.5735602199790460E-02,1,11730,3.645056,1.104714
147,1.000000000000000,1,1,12,47,.5767638446170307E-03,1,6152,.5631039352461440E-02,1,11730,15.77274,0.6133428
148,1.000000000000000,1,1,12,48,-.1189960789860790E-01,1,2751,.2517983639732531E-02,1,14220,0.9625866E-02,143.8566
149,1.000000000000000,1,1,12,49,-.2516038125442074E-03,1,6773,.8320308936127371E-03,1,14159,30.47693,0.9086673
150,1.000000000000000,1,1,12,50,.1224394824134821E-04,1,9389,-.7059555380074371E-03,1,9461,0.1306001,1.029279
151,1.000000000000000,1,1,12,51,.1871004283321626E-03,1,3399,-.5302043897249115E-03,1,9610,42.92447,0.7148947
152,1.000000000000000,1,1,12,52,.7596268505684505E-04,1,3552,-.4832328313061047E-03,1,9537,0.2993406,9.584345
153,1.000000000000000,1,1,12,53,.1081142867156887E-03,1,3401,-.4339960961988952E-03,1,9686,12.05083,0.6103700
154,1.000000000000000,1,1,12,54,.8483302322794147E-04,1,6543,-.3920393881618920E-03,1,9760,1.972079,8.324672
155,1.000000000000000,1,1,12,55,-.8477953001725857E-04,1,8741,-.3817662630913381E-03,1,9836,2.836201,0.8070737
156,1.000000000000000,1,1,12,56,-.6263457845908921E-04,1,8741,-.3562738801287611E-03,1,9763,2.047165,1.056291
157,1.000000000000000,1,1,12,57,.5678645326618020E-04,1,3552,-.3293950624506461E-03,1,9838,2.088814,1.299542
158,1.000000000000000,1,1,12,58,.5489862096284304E-04,1,6693,-.2994910233431910E-03,1,9838,1.835150,3.176883
159,1.000000000000000,1,1,12,59,.4992987785185993E-04,1,710,-.2718925308827744E-03,1,9839,2.240173,2.627364
160,1.000000000000000,1,1,12,60,.4260754425634721E-04,1,6697,-.2458353200034508E-03,1,9839,2.833922,0.6175360
161,1.000000000000000,1,1,12,61,.5597210305328547E-04,1,9763,-.2089908856309185E-03,1,9839,3.491952,1.339422
162,1.000000000000000,1,1,12,62,-.8584702676365328E-04,1,9765,-.2723808352184522E-03,1,9839,-11.22308,0.6196232
163,1.000000000000000,1,1,12,63,.1746933701401778E-03,1,6773,-.2643929852963056E-03,1,14301,0.6154883E-01,32.79862
164,1.000000000000000,1,1,12,64,.6693593340042340E-04,1,6773,-.8737439484770724E-04,1,9841,-3.947582,0.8172322
165,1.000000000000000,1,1,12,65,-.6140861294939237E-06,1,6619,-.8741034850165365E-04,1,9841,-0.6405653,1.166009
166,1.000000000000000,1,1,13,1,-2.744917554577844,1,2616,22.90253684319108,1,11521,1.005462,0.9637589
167,1.000000000000000,1,1,13,2,-.9107289436786226,1,11595,13.39452641501995,1,11521,1.521997,0.7503465
168,1.000000000000000,1,1,13,3,-.7876460256978361,1,14588,8.083414555716528,1,11521,1.480302,2.020515
169,1.000000000000000,1,1,13,4,-.4488945426887364,1,14588,5.020228651685235,1,11521,2.124327,0.7267257
170,1.000000000000000,1,1,13,5,-.4727815465013673,1,2615,3.657512500559826,1,11521,1.742016,2.978578
171,1.000000000000000,1,1,13,6,-.3901919695372414,1,5608,2.506075528655397,1,11664,2.615497,0.7436257
172,1.000000000000000,1,1,13,7,-.4421803573667233,1,8600,1.932762972150307,1,11736,2.328194,2.596577
173,1.000000000000000,1,1,13,8,-.6998936570232263,1,2614,1.635518073770432,1,11369,3.438972,0.7732927
174,1.000000000000000,1,1,13,9,-.8810794548705212,1,8672,1.733048918653088,1,11295,2.906652,2.461477
175,1.000000000000000,1,1,13,10,-.9925978973657974,1,2686,-2.276400681601243,1,11521,2.437495,0.9994186
176,1.000000000000000,1,1,13,11,-.6002794165138211,1,11737,-2.667188523986423,1,11521,2.168741,1.583723
177,1.000000000000000,1,1,13,12,-.2110426308742700,1,11442,-2.446073278029548,1,11521,1.618999,1.186346
178,1.000000000000000,1,1,13,13,-.1179082863557623,1,8229,-2.101918107001122,1,11521,1.501029,1.699738
179,1.000000000000000,1,1,13,14,.1648102760141135,1,14588,-1.770364901914488,1,11522,0.7283436,5.108065
180,1.000000000000000,1,1,13,15,-.1545003740328301E-01,1,11595,-1.477850192862937,1,11593,-1.416257,0.6533582
181,1.000000000000000,1,1,13,16,.4073166302355077E-01,1,8600,-1.371603741268355,1,11522,-0.4070322,1.989611
182,1.000000000000000,1,1,13,17,.5189474378649030,1,14659,.3872187449684455,1,11070,57.21131,0.9340783
183,1.000000000000000,1,1,13,18,-.1759328093356587,1,14659,.5911837249977174,1,9149,1.539185,2.918932
184,1.000000000000000,1,1,13,19,-.1535524543149702E-01,1,8600,.5360622511137042,1,11145,2.276578,0.6695557
185,1.000000000000000,1,1,13,20,-.3695780757552676,1,14659,-1.171940065300273,1,11521,19.69973,0.9999684
